;file;sp;stage;p;year;p_norm;s;s_norm;i;i_norm;l;l_norm;classic?;type
0;pushkin-stseny-iz-rytsarskih-vremen;428;38;8.878504672897195;1837;0.009145971939686368;3.1315789473684212;0.049658314350797275;0.018691588785046728;0.020249221183800622;1.1168831168831168;0.2584683357879233;0.026351169158094753;classic
1;turgenev-holostjak;1768;687;38.85746606334842;1849;0.22939098797328525;4.506550218340611;0.11630840238334443;0.05203619909502263;0.09621993127147767;1.3746478873239436;0.8284739364019165;0.14730644054270245;small_retreat
2;gogol-zhenitba;1403;254;18.10406272273699;1842;0.07692294240047926;3.925196850393701;0.08812799311247826;0.047042052744119746;0.08484151535859585;1.3072100313479624;0.6793458940632777;0.08329748362385113;classic
3;blok-neznakomka;381;132;34.645669291338585;1907;0.1984483800723648;10.856060606060606;0.4240933250500448;0.12598425196850394;0.26469951565332683;1.320907617504052;0.7096359170579293;0.29574707359191216;significant_retreat
4;ostrovsky-bednaja-nevesta;2326;442;19.002579535683576;1852;0.08352403332209174;3.68552036199095;0.07650996196621279;0.07996560619088564;0.15985291032493876;1.3424242424242425;0.757216494845361;0.10662896853774777;small_retreat
5;gogol-lakeiskaja;156;35;22.435897435897438;1842;0.10874742735941474;6.6571428571428575;0.2205558086560365;0.08333333333333333;0.16752577319587628;1.1940298507462686;0.4290660101554083;0.1656096697371092;small_retreat
6;prutkov-fantaziya;675;243;36.0;1851;0.20839817735716787;5.193415637860082;0.14960338217235203;0.2311111111111111;0.5042153493699886;1.3472222222222223;0.7678264604810998;0.2874056362998361;significant_retreat
7;bulgakov-dni-turbinyh;2494;372;14.91579791499599;1926;0.0534998683134651;3.739247311827957;0.07911431160751464;0.04771451483560545;0.08637361971136225;1.274401473296501;0.6067950105371078;0.07299593321078067;classic
8;pushkin-pir-vo-vremja-chumy;56;9;16.071428571428573;1832;0.06198988533373392;3.888888888888889;0.08636800809921538;0.07142857142857142;0.1404025527736868;1.0;0.0;0.0962534820688787;classic
9;sukhovo-kobylin-smert-tarelkina;1878;675;35.94249201277955;1869;0.20797568615066925;3.1822222222222223;0.052113186535054416;0.03301384451544196;0.05288033990975265;1.325769854132901;0.7203879764072915;0.10432307086515878;small_retreat
10;gumilyov-ditja-allaha;448;66;14.732142857142858;1917;0.05215061839667518;3.106060606060606;0.04842134327327949;0.04017857142857143;0.06920409916543938;1.2061855670103092;0.4559464342650652;0.05659202027846468;classic
11;pushkin-boris-godunov;878;172;19.58997722095672;1831;0.08783944008105601;3.2209302325581395;0.05398951104518726;0.06264236902050115;0.12038450398828955;1.2214285714285715;0.4896539027982329;0.0874044850381776;classic
12;prutkov-blondy;184;87;47.28260869565217;1854;0.2912875843886679;5.494252873563219;0.16418610740187994;0.32065217391304346;0.7082212759599581;1.1967871485943775;0.4351633337473606;0.387898322583502;significant_retreat
13;prutkov-spor-drevnih-grecheskih-filosofov;64;15;23.4375;1854;0.11610585348755695;18.266666666666666;0.7833135914958238;0.09375;0.1912585910652921;1.1845238095238095;0.40804491899852724;0.36355934534955764;significant_retreat
14;shakhovskoy-ne-lubo-ne-slushai;934;80;8.565310492505352;1818;0.006845043085493227;2.25;0.0069248291571753955;0.042826552462526764;0.07523712811909018;1.278688524590164;0.6162751394287648;0.029669000120586268;classic
15;blok-korol-na-ploschadi;548;133;24.27007299270073;1907;0.12222247806765063;12.466165413533835;0.5021412300683371;0.06751824817518248;0.13149346577369755;1.3171471927162368;0.7013203385322968;0.25195239130322844;significant_retreat
16;gumilyov-don-zhuan-v-egipte;152;42;27.631578947368425;1911;0.14691829468518827;2.9047619047619047;0.03866362946089597;0.17105263157894737;0.3673810815699042;1.171875;0.38007409793814434;0.1843210019053295;small_retreat
17;bulgakov-poslednie-dni;1408;328;23.295454545454543;1943;0.1150622948730204;6.5182926829268295;0.21382521251180625;0.07102272727272728;0.13947789753202125;1.3666169895678093;0.8107148893020113;0.1561218016389493;small_retreat
18;prutkov-chereposlov-sirech-frenolog;234;161;68.80341880341881;1860;0.4493935009182118;8.763975155279503;0.32268198474794496;0.44871794871794873;1.0;1.3275529865125242;0.7243310887313035;0.5906918285553856;non_classic
19;gogol-revizor;1838;433;23.5582154515778;1836;0.11699270797934479;4.5889145496535795;0.12030091484425552;0.08215451577801959;0.1648400136110893;1.3596638655462185;0.7953391665944729;0.13404454547822986;small_retreat
20;prutkov-oprometchivyj-turka;72;46;63.888888888888886;1863;0.4132881567161273;7.065217391304348;0.24033673368327224;0.3888888888888889;0.8636884306987399;1.1414141414141414;0.31271477663230246;0.5057711070327131;non_classic
21;gumilyov-gondla;462;62;13.41991341991342;1917;0.04251012452905198;4.209677419354839;0.10191784848262181;0.04329004329004329;0.07629312268487526;1.152;0.33612371134020597;0.07357369856551635;classic
22;chekhov-leshii;1760;498;28.295454545454547;1889;0.15179555810470638;3.102409638554217;0.04824436698959848;0.1215909090909091;0.2546899406435489;1.330749354005168;0.7313993446815313;0.15157662191261792;small_retreat
23;prutkov-srodstvo-mirovyh-sil;32;46;143.75;1884;1.0;13.304347826086957;0.5427711201346935;0.1875;0.40485395189003437;1.2327868852459016;0.5147709988169681;0.649208357341576;non_classic
24;sumarokov-horev;406;33;8.12807881773399;1747;0.0036328538449717524;3.515151515151515;0.06825153585973631;0.029556650246305417;0.0450036395646065;1.0212765957446808;0.04704979162096933;0.03896267642310485;classic
