;Amount of acts;Amount of directions;Author;Lemmas;Lemmas per direction;Published;Title;Words;Words per direction;Written;Directions per act;Words per act;Lemmas per act;A;ADV;INTJ;S;V;Words
gogol-revizor.txt;5;433;Гоголь, Николай Васильевич;3229;6.468822170900693;1836;Ревизор;21096;4.609699769053118;1835;86.6;4219.2;645.8;0.12933025404157045;0.22401847575057737;0.004618937644341801;0;0.09930715935334873;1.7944572748267897
gogol-teatralnyi-razezd.txt;1;119;Гоголь, Николай Васильевич;1932;5.873949579831933;1842;Театральный разъезд после представления новой комедии;9926;4.159663865546219;1842;119.0;9926.0;1932.0;0.27586206896551724;0.16379310344827586;0.0;0;0.04310344827586207;1.8017241379310345
gogol-tjazhba.txt;1;21;Гоголь, Николай Васильевич;640;4.476190476190476;1842;Тяжба;1701;2.619047619047619;1836;21.0;1701.0;640.0;0.047619047619047616;0.19047619047619047;0.0;0;0.047619047619047616;0.8095238095238095
gogol-utro-delovogo-cheloveka.txt;1;27;Гоголь, Николай Васильевич;600;7.111111111111112;1836;Утро делового человека;1673;5.222222222222221;1836;27.0;1673.0;600.0;0.2222222222222222;0.25925925925925924;0.0;0;0.2222222222222222;2.037037037037037
gogol-zhenitba.txt;2;254;Гоголь, Николай Васильевич;2188;5.952755905511812;1842;Женитьба;13094;3.9251968503937014;1835;127.0;6547.0;1094.0;0.06299212598425197;0.2874015748031496;0.003937007874015748;0;0.09055118110236221;1.515748031496063
gorky-egor-bulychov-i-drugie.txt;3;199;Горький, Максим;2363;7.155778894472362;1932;Егор Булычов и другие;11092;5.155778894472363;1931;66.33333333333333;3697.333333333334;787.6666666666665;0.37185929648241206;0.2964824120603015;0.0;0;0.135678391959799;1.7939698492462313
gorky-na-dne.txt;4;525;Горький, Максим;2738;6.36952380952381;1903;На дне;16514;4.744761904761905;1902;131.25;4128.5;684.5;0.19047619047619047;0.41714285714285715;0.0038095238095238095;0;0.08571428571428572;1.779047619047619
griboyedov-gore-ot-uma.txt;4;209;Грибоедов, Александр Сергеевич;3443;5.8181818181818175;1825;Горе от ума;14558;3.9138755980861246;1824;52.25;3639.5;860.75;0.1339712918660287;0.2727272727272727;0.0;0;0.04784688995215311;1.5980861244019138
gumilyov-akteon.txt;1;55;Гумилёв, Николай Степанович;675;6.072727272727272;1913;Актеон;1484;4.054545454545455;1913;55.0;1484.0;675.0;0.10909090909090909;0.6363636363636364;0.0;0;0.05454545454545454;1.8363636363636364
gumilyov-ditja-allaha.txt;1;66;Гумилёв, Николай Степанович;1304;5.090909090909091;1917;Дитя Аллаха;3867;3.1060606060606064;1916;66.0;3867.0;1304.0;0.045454545454545456;0.015151515151515152;0.0;0;0.15151515151515152;0.6818181818181818
